Time resolution is 1 ps
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
a=0000, b=0000, cin=1 | s=0001, cout=0
a=0000, b=0000, cin=0 | s=0000, cout=0
